duration,campaign,pdays,cons.price.idx,contact_encoded,poutcome_encoded,economic_impact_score
733.0,1.0,999.0,93.918,1.0,0.0,36318.56508
407.0,1.0,999.0,93.2,1.0,0.0,-2177.55978
113.0,2.0,999.0,93.876,1.0,1.0,-6148.68012
360.0,1.0,999.0,94.767,1.0,0.0,-5629.218760000001
237.0,1.0,999.0,93.994,0.0,0.0,27733.955700000002
74.0,1.0,999.0,92.893,1.0,1.0,-11757.504780000001
44.0,3.0,999.0,93.994,0.0,0.0,27722.5355
502.0,2.0,999.0,93.918,1.0,0.0,36318.56508
165.0,1.0,999.0,93.2,1.0,0.0,-2177.55978
244.0,2.0,999.0,93.2,1.0,0.0,-2157.81574
268.0,2.0,999.0,93.444,1.0,0.0,36362.481120000004
113.0,5.0,999.0,93.994,0.0,0.0,27733.955700000002
382.0,1.0,999.0,92.893,1.0,0.0,-12335.74272
136.0,1.0,999.0,93.918,1.0,0.0,36325.88442
197.0,2.0,999.0,92.893,1.0,0.0,-11619.829080000001
821.0,1.0,999.0,93.918,1.0,0.0,36318.56508
58.0,2.0,999.0,93.994,0.0,0.0,27773.926400000004
1339.0,2.0,999.0,93.918,1.0,0.0,36318.56508
393.0,3.0,999.0,93.918,0.0,0.0,36318.56508
205.0,2.0,999.0,92.379,1.0,0.0,-13698.7785
265.0,2.0,999.0,93.994,0.0,0.0,27773.926400000004
657.0,4.0,999.0,93.075,1.0,0.0,-12941.5158
20.0,4.0,999.0,93.2,1.0,0.0,-2140.6696
207.0,6.0,999.0,93.994,0.0,0.0,27728.245600000002
82.0,1.0,999.0,93.994,0.0,0.0,27733.955700000002
27.0,1.0,999.0,93.075,1.0,1.0,-12528.4887
211.0,2.0,6.0,94.199,0.0,2.0,-4793.844880000001
179.0,1.0,999.0,93.444,1.0,0.0,36325.88442
323.0,3.0,999.0,93.444,1.0,0.0,36333.203760000004
407.0,2.0,999.0,93.749,1.0,0.0,-5806.08504
188.0,3.0,999.0,93.918,1.0,0.0,36325.88442
54.0,5.0,999.0,93.444,1.0,0.0,36318.56508
83.0,1.0,999.0,92.201,1.0,1.0,-12969.183379999999
101.0,1.0,999.0,92.963,1.0,0.0,-18548.4348
26.0,5.0,12.0,92.893,0.0,2.0,-11417.90472
115.0,1.0,999.0,92.893,1.0,1.0,-11922.71562
272.0,1.0,999.0,93.075,1.0,0.0,-13455.50508
87.0,1.0,3.0,93.369,1.0,2.0,-5887.22598
885.0,3.0,999.0,92.893,1.0,0.0,-11472.975
384.0,4.0,999.0,93.994,0.0,0.0,27751.086000000007
529.0,1.0,999.0,93.2,1.0,0.0,-2089.23118
125.0,2.0,999.0,93.2,1.0,0.0,-2157.81574
90.0,2.0,999.0,93.994,0.0,0.0,27733.955700000002
91.0,2.0,999.0,92.379,1.0,0.0,-13971.730499999998
12.0,1.0,999.0,94.055,0.0,0.0,-5956.975439999999
159.0,2.0,999.0,93.994,0.0,0.0,27728.245600000002
178.0,2.0,999.0,93.994,0.0,0.0,27722.5355
221.0,7.0,999.0,94.465,0.0,0.0,35608.589100000005
507.0,1.0,999.0,93.918,1.0,0.0,36303.926400000004
207.0,3.0,999.0,93.918,1.0,0.0,36362.481120000004
222.0,3.0,999.0,93.2,1.0,1.0,-2140.6696
406.0,2.0,999.0,92.893,1.0,0.0,-11619.829080000001
282.0,4.0,999.0,92.893,1.0,0.0,-12243.958920000003
257.0,2.0,999.0,93.075,1.0,1.0,-12941.5158
127.0,2.0,999.0,93.994,0.0,0.0,27739.6658
292.0,2.0,999.0,93.2,1.0,0.0,-2117.80808
720.0,5.0,999.0,92.713,1.0,1.0,-10820.618999999999
124.0,2.0,999.0,93.075,1.0,0.0,-12895.6239
199.0,1.0,999.0,92.893,1.0,1.0,-11555.58042
139.0,1.0,999.0,92.893,1.0,1.0,-12335.74272
176.0,2.0,999.0,92.201,0.0,0.0,-12792.531619999998
102.0,2.0,999.0,93.2,1.0,0.0,-2140.6696
234.0,5.0,999.0,93.994,0.0,0.0,27728.245600000002
181.0,1.0,999.0,93.2,1.0,1.0,-2157.81574
144.0,2.0,999.0,94.465,0.0,0.0,35608.589100000005
586.0,2.0,999.0,93.075,1.0,0.0,-12528.4887
194.0,1.0,13.0,92.469,1.0,2.0,-15147.888419999997
275.0,2.0,999.0,93.2,1.0,0.0,-2157.81574
231.0,2.0,999.0,92.893,1.0,0.0,-12243.958920000003
488.0,1.0,999.0,93.994,0.0,0.0,27733.955700000002
285.0,1.0,999.0,93.075,1.0,0.0,-12528.4887
11.0,5.0,999.0,94.465,0.0,0.0,36296.607059999995
51.0,4.0,999.0,92.893,1.0,0.0,-11472.975
57.0,5.0,999.0,92.893,1.0,0.0,-11757.504780000001
125.0,3.0,999.0,93.918,1.0,0.0,36311.245740000006
150.0,1.0,999.0,92.649,1.0,1.0,-12180.483
131.0,2.0,4.0,92.201,1.0,2.0,-12998.625339999999
88.0,1.0,999.0,93.994,0.0,0.0,27728.245600000002
203.0,2.0,999.0,94.465,0.0,0.0,36303.926400000004
105.0,4.0,999.0,93.444,1.0,0.0,36333.203760000004
594.0,1.0,999.0,92.893,1.0,0.0,-12179.71026
232.0,2.0,13.0,94.199,1.0,2.0,-4799.304840000001
51.0,1.0,999.0,93.2,1.0,1.0,-2157.81574
188.0,1.0,999.0,93.075,1.0,0.0,-13170.975300000002
354.0,1.0,999.0,93.918,1.0,0.0,36281.96838
381.0,4.0,999.0,93.918,0.0,0.0,36267.3297
